pid,ptitle
4361,Operation oriented NoSQL database
4362,Automatic Conversion Between Flavours of SQL
4363,Auto Parallelisation Through Deep Learning
4364,Parsing the STAC corpus
4365,Learning to play Draughts
4366,Generating a Compiler Backend from an Architecture Specification
4367,Retrofitting GraphBLAS to Legacy Code
4369,Writing a minimal AArch64 JIT compiler in C
4370,Interactive Task Learning using Corrective Dialogue Moves
4371,Automatic Proposal of Experiments to Discriminate Between Alternative Repairs to a Faulty Theory
4377,"Firewall administration, the game"
4380,Structure learning of bipartite Ising models
4381,Implementation of the Bayes filter algorithm
4382,Implementation of a SAT counting algorithm
4383,Verification of networks of real time systems
4384,Computing multipebble simulations symbolically with BDDs
4385,Optimizing algorithms in automata theory with Java fork join concurrency
4387,Sharing is Caring: Implementing Virtualised Wi Fi
4388,Investigation Vulnerabilities of Internet connected blood pressure monitors
4389,Indoor air quality monitoring
4390,Visualization of composed cryptographic games and automatic derivation of simple cryptographic reductions
4391,Localisation and Shape Estimation of a Robotic Bronchoscope in Lung Surgery
4392,Simultaneous Localisation and Mapping (SLAM) of The Airways in Lung Bronchoscopy
4393,Model based Control of Continuum Robots
4394,Learning autonomous robotic grapsing
4395,Learning versatile dynamic motor skills for a quadruped robot
4396,Advanced Microscopy Image Analysis for Life Science Applications
4386,Obfuscation for Privacy preserving Syntactic Parsing
4398,Litter: A location based Twitter app
4399,Analysis of Differential Paths in ARX Ciphers Using ARXTools
4400,Classifying Mathematical Articles into Their Fields
4401,"Measure what a ""normal"" URL looks like for users"
4403,Beyond Species Classification: Re Identification of Individual Animals in Wildlife Images
4402,Efficient Deep Learning for Acoustic Biodiversity Monitoring
4405,Reimplement abstract game algorithm in Java
4406,Pedagogically sensible lab sessions for Software Design and Modelling
4407,MegamodelBuild
4408,A web interface for PMark
4410,Alternative implementations of PMark
4411,Analysing and simplifying chord progressions
4413,Graphical animations of some concepts in number theory
4414,Mandelbrot Maps: Web application for exploring fractals
4415,Pretty Printing for BNFC meta
4416,System F in Polymorphic Blocks
4417,Haskell Notebooks: applying Jupyter/IHaskell
4418,Towards a Closed Formula for the Additive Differential Probability of XOR
4419,Implementation of an Algorithm for Optimal Probability Computation Using Transition Probability Matrices
4420,Pretty printing for first year students
4421,Bringing the stupid computer to life
4425,Access constraints discovery
4426,Online relation caching for SparkSQL
4412,Generalization in Reinforcement Learning
4427,Implementing and Evaluating Algorithms for Constraint Shortest Paths
4429,A workbench for element theory phonology
4430,An integrated C/Lisp Emacs debugger
4431,Secure file restrictions for general applications
4432,Tracking beak and foot movements for weaver bird nest building
4433,Estimate robot ego motion with an event based camera
4434,Online Inverse Dynamics Learning using Sparse Gaussian Processes
4436,Building a hexapod robot platform to test insect inspired navigation algorithms
4437,Analysis of the DAPHNE dataset
4438,A neural circuit to explain the bee dance
4439,Translations between relational algebra and relational calculus
4440,Formal semantics of the SQL language
4441,Preservation of Codd semantics in databases with SQL nulls
4442,Practical Quantum Algorithms for Problems on Partially Ordered Sets and Graphs
4443,Missing pitch estimation and interpolation from speech waveforms with neural networks
4444,Automatic detection and classification of human head gestures
4445,Natural head motion synthesis with Generative Adversarial Networks
4446,Text driven head motion synthesis of animated agents using neural networks
4447,Speech driven animation of human heads in conversation using neural networks
4448,Practical Quantum Algorithms for Cryptanalysis
4449,Quantum Algorithms for Near Term Devices: Computational Chemistry
4452,"OK, Piet: A semantic definition for the esoteric programming language Piet"
4453,Animatikz: A LaTeX package for animations
4450,"Spin it, Maude! A SPIN like model checker in Maude"
4454,Quantum Algorithms for Near Term Devices: Comparing different hardware
4457,Tools for extracellular neural recording analysis
4458,Machine learning for large scale extracellular neural recording analysis
4459,Designing and Developing a Technology Based Tool to Help Children with Autism Cope with Changes
4461,A graphical workbench for experimenting with hash tables
4462,A Backend for a Coherence Protocol Generator
4463,Cache Coherence Protocol Library
4464,Automatic virtual channel assignment for the ProtoGen tool
4465,The Speckled Puppeteer
4467,Sensing Spaces: A Study in Mapping Air Pollution in Public Spaces using Personal Exposure Monitors
4466,Experiments in Social Signals Analysis for COPD patients
4468,"Analysis of Air Pollution, Respiratory and Physical Activity datasets for investigating health effects of air pollution"
4469,Toward a Technology to Overcome Anxiety in Children with Autism
4470,Supporting Interactive Inference in FRANK
4471,Deep learning for robot control
4473,Automatic Knowledge Discovery
4474,Using AI and Machine Learning to improve Learning
4475,Incrementing the MarkEd online marking tool with support for fairer and more efficient marking
4476,Integrated information in a robot swarm
4472,Control of behaviour in a pet robot
4477,Vision for Good
4478,Adversarial Data: When The Environment Fights Back
4480,Facilitating and authenticating the reading of Terms & Conditions and Privacy Statements
4481,Sloppy passwords and security awareness: can a little nudge help?
4479,An Interactive Tool for Ethical Thinking
4483,Privacy context game in human agent systems
4485,Sources of variability in neural activity
4456,Reproducibility and provenance for neuroscientific data analysis
4486,Topics in workflow management for an Industry 4.0 manufacturing floor
4487,Detection of time required to find study space in the Main Library using WiFi data
4488,Incrementing the MarkEd online marking tool with support for fairer and more efficient marking
4490,Deploying workflows on a blockchain
4491,Improved Workflow Execution in WorkflowFM
4492,Extending a Linear Logic proofs as processes embedding with units
4493,Web based blocks world experiments for studying language evolution
4495,Developing a new web interface for the Archive of Formal Proofs
4496,Incrementing the MarkEd online marking tool with support for good feedback
4497,Automatic punctuation annotation using Transformers
4498,Developing Sample Efficient Deep Reinforcement Learning Methods for Robots in the Real World and Simulation
4499,ML driven buffer management in PostgreSQL
4500,Hypertree decompositions
4501,Parallel database query processing using OpenCL
4502,An experimental study of tree based index data structures
4504,App for Gathering Experiment Data on Set Recommendation for Multiagent Coordination (iOS Front End)
4505,App for Gathering Experiment Data on Set Recommendation for Multiagent Coordination (Back End)
4503,App for Gathering Experiment Data on Set Recommendation for Multiagent Coordination (Android Front End)
