 person_id | tenant_id | academic_session_id |  role_id   
-----------+-----------+---------------------+------------
      1324 | ug4       |                   8 | manager
      1318 | ug4       |                   8 | manager
      1351 | ug4       |                   8 | supervisor
      1339 | ug4       |                   8 | supervisor
      7712 | ug4       |                   8 | student
      6663 | ug4       |                   8 | student
      7708 | ug4       |                   8 | student
      5659 | ug4       |                   8 | supervisor
      1344 | ug4       |                   8 | supervisor
      1381 | ug4       |                   8 | supervisor
      1332 | ug4       |                   8 | supervisor
      7683 | ug4       |                   8 | student
      5466 | ug4       |                   8 | student
      5421 | ug4       |                   8 | student
      7913 | ug4       |                   8 | student
      5891 | ug4       |                   8 | student
      1340 | ug4       |                   8 | supervisor
      6831 | ug4       |                   8 | supervisor
      6001 | ug4       |                   8 | supervisor
      1754 | ug4       |                   8 | supervisor
      4009 | ug4       |                   8 | student
      5099 | ug4       |                   8 | student
      5096 | ug4       |                   8 | student
      5682 | ug4       |                   8 | student
      3685 | ug4       |                   8 | student
      6564 | ug4       |                   8 | student
      5905 | ug4       |                   8 | student
      6482 | ug4       |                   8 | student
      5274 | ug4       |                   8 | student
      4823 | ug4       |                   8 | student
      6479 | ug4       |                   8 | student
      7254 | ug4       |                   8 | supervisor
      6871 | ug4       |                   8 | student
      4929 | ug4       |                   8 | student
      5483 | ug4       |                   8 | student
      4763 | ug4       |                   8 | student
      5039 | ug4       |                   8 | student
      5896 | ug4       |                   8 | student
      4441 | ug4       |                   8 | student
      7109 | ug4       |                   8 | supervisor
      6442 | ug4       |                   8 | student
      5492 | ug4       |                   8 | student
      7701 | ug4       |                   8 | student
      7186 | ug4       |                   8 | supervisor
      7925 | ug4       |                   8 | student
      6322 | ug4       |                   8 | student
      6557 | ug4       |                   8 | student
      5437 | ug4       |                   8 | student
      5079 | ug4       |                   8 | student
      3851 | ug4       |                   8 | student
      2121 | ug4       |                   8 | supervisor
      1334 | ug4       |                   8 | supervisor
      7126 | ug4       |                   8 | student
      7728 | ug4       |                   8 | student
      5397 | ug4       |                   8 | student
      1348 | ug4       |                   8 | supervisor
      6381 | ug4       |                   8 | student
      7907 | ug4       |                   8 | student
      6620 | ug4       |                   8 | student
      5568 | ug4       |                   8 | supervisor
      6390 | ug4       |                   8 | student
      1778 | ug4       |                   8 | supervisor
      7119 | ug4       |                   8 | supervisor
      5497 | ug4       |                   8 | student
      7929 | ug4       |                   8 | supervisor
      2496 | ug4       |                   8 | supervisor
      1319 | ug4       |                   8 | supervisor
      1390 | ug4       |                   8 | supervisor
      6586 | ug4       |                   8 | supervisor
      1372 | ug4       |                   8 | supervisor
      3021 | ug4       |                   8 | supervisor
      3731 | ug4       |                   8 | supervisor
      5462 | ug4       |                   8 | student
      7932 | ug4       |                   8 | student
      5226 | ug4       |                   8 | student
      1356 | ug4       |                   8 | supervisor
      7935 | ug4       |                   8 | student
      4856 | ug4       |                   8 | student
      5409 | ug4       |                   8 | student
      4282 | ug4       |                   8 | supervisor
      5635 | ug4       |                   8 | supervisor
      5586 | ug4       |                   8 | student
      7812 | ug4       |                   8 | student
      3607 | ug4       |                   8 | student
      1358 | ug4       |                   8 | supervisor
      7830 | ug4       |                   8 | student
      4012 | ug4       |                   8 | supervisor
      1333 | ug4       |                   8 | supervisor
      5672 | ug4       |                   8 | supervisor
      7936 | ug4       |                   8 | student
      6892 | ug4       |                   8 | student
      7754 | ug4       |                   8 | student
      6455 | ug4       |                   8 | student
      5206 | ug4       |                   8 | supervisor
      5236 | ug4       |                   8 | supervisor
      7939 | ug4       |                   8 | supervisor
      1769 | ug4       |                   8 | supervisor
      7942 | ug4       |                   8 | supervisor
      5319 | ug4       |                   8 | supervisor
      7945 | ug4       |                   8 | supervisor
      5185 | ug4       |                   8 | student
      3930 | ug4       |                   8 | student
      5098 | ug4       |                   8 | student
      6507 | ug4       |                   8 | student
      1345 | ug4       |                   8 | supervisor
      1371 | ug4       |                   8 | supervisor
      2097 | ug4       |                   8 | supervisor
      1350 | ug4       |                   8 | supervisor
      5401 | ug4       |                   8 | student
      3443 | ug4       |                   8 | supervisor
      6368 | ug4       |                   8 | supervisor
      1385 | ug4       |                   8 | supervisor
      3553 | ug4       |                   8 | supervisor
      3794 | ug4       |                   8 | supervisor
      3040 | ug4       |                   8 | supervisor
      1990 | ug4       |                   8 | supervisor
      1360 | ug4       |                   8 | supervisor
      5871 | ug4       |                   8 | student
      7202 | ug4       |                   8 | supervisor
      7734 | ug4       |                   8 | student
      1326 | ug4       |                   8 | supervisor
      6909 | ug4       |                   8 | student
      7948 | ug4       |                   8 | student
      7951 | ug4       |                   8 | student
      7698 | ug4       |                   8 | student
      6878 | ug4       |                   8 | student
      7955 | ug4       |                   8 | student
      5214 | ug4       |                   8 | student
      7724 | ug4       |                   8 | student
      6860 | ug4       |                   8 | student
      3577 | ug4       |                   8 | student
      6857 | ug4       |                   8 | student
      6548 | ug4       |                   8 | student
      7801 | ug4       |                   8 | student
      7959 | ug4       |                   8 | student
      7963 | ug4       |                   8 | student
      6869 | ug4       |                   8 | student
      7149 | ug4       |                   8 | student
      7966 | ug4       |                   8 | student
      6874 | ug4       |                   8 | student
      6896 | ug4       |                   8 | student
      7969 | ug4       |                   8 | student
      7716 | ug4       |                   8 | student
      7973 | ug4       |                   8 | student
      3053 | ug4       |                   8 | manager
      7976 | ug4       |                   8 | student
      7980 | ug4       |                   8 | student
      7983 | ug4       |                   8 | student
      6863 | ug4       |                   8 | student
      3901 | ug4       |                   8 | supervisor
      7987 | ug4       |                   8 | student
      7891 | ug4       |                   8 | student
      7989 | ug4       |                   8 | student
      7990 | ug4       |                   8 | student
      6582 | ug4       |                   8 | student
      7994 | ug4       |                   8 | student
      6705 | ug4       |                   8 | student
      7997 | ug4       |                   8 | student
      1373 | ug4       |                   8 | supervisor
      1342 | ug4       |                   8 | supervisor
      7122 | ug4       |                   8 | student
      8001 | ug4       |                   8 | student
      6985 | ug4       |                   8 | supervisor
      7150 | ug4       |                   8 | student
      8005 | ug4       |                   8 | student
      7744 | ug4       |                   8 | student
      8008 | ug4       |                   8 | student
      8011 | ug4       |                   8 | student
      3529 | ug4       |                   8 | student
      4977 | ug4       |                   8 | student
      8014 | ug4       |                   8 | student
      8017 | ug4       |                   8 | student
      7050 | ug4       |                   8 | student
      1329 | ug4       |                   8 | supervisor
      8020 | ug4       |                   8 | student
      4461 | ug4       |                   8 | supervisor
      7765 | ug4       |                   8 | student
      6617 | ug4       |                   8 | student
      7867 | ug4       |                   8 | student
      8022 | ug4       |                   8 | student
      7705 | ug4       |                   8 | student
      6555 | ug4       |                   8 | student
      7750 | ug4       |                   8 | student
      8025 | ug4       |                   8 | student
      7115 | ug4       |                   8 | student
      8029 | ug4       |                   8 | student
      2094 | ug4       |                   8 | supervisor
      8032 | ug4       |                   8 | student
      8033 | ug4       |                   8 | student
      1388 | ug4       |                   8 | supervisor
      1391 | ug4       |                   8 | supervisor
      1361 | ug4       |                   8 | supervisor
      7789 | ug4       |                   8 | student
      8036 | ug4       |                   8 | student
      8039 | ug4       |                   8 | student
      1933 | ug4       |                   8 | supervisor
      7882 | ug4       |                   8 | student
      5340 | ug4       |                   8 | supervisor
      3844 | ug4       |                   8 | supervisor
      8043 | ug4       |                   8 | student
      5215 | ug4       |                   8 | student
      7139 | ug4       |                   8 | supervisor
      6866 | ug4       |                   8 | student
      6844 | ug4       |                   8 | student
      8047 | ug4       |                   8 | student
      6940 | ug4       |                   8 | student
      1395 | ug4       |                   8 | supervisor
      6724 | ug4       |                   8 | student
      5654 | ug4       |                   8 | supervisor
      1323 | ug4       |                   8 | supervisor
      6999 | ug4       |                   8 | student
      5478 | ug4       |                   8 | student
      6523 | ug4       |                   8 | supervisor
      6714 | ug4       |                   8 | student
      8060 | ug4       |                   8 | supervisor
      6416 | ug4       |                   8 | student
      3684 | ug4       |                   8 | student
      8063 | ug4       |                   8 | student
      2898 | ug4       |                   8 | supervisor
      5027 | ug4       |                   8 | student
      8066 | ug4       |                   8 | student
      8069 | ug4       |                   8 | student
      6613 | ug4       |                   8 | student
      5861 | ug4       |                   8 | student
      5413 | ug4       |                   8 | student
      6527 | ug4       |                   8 | supervisor
