person_id,max_load
1318,1
1319,4
1320,4
1322,10
1324,4
1328,4
1329,2
1330,4
1331,6
1332,6
1333,6
1334,7
1335,4
1337,1
1338,5
1339,3
1340,6
1341,6
1342,7
1344,5
1348,5
1350,1
1351,8
1353,6
1356,4
1358,3
1361,4
1363,6
1366,5
1370,4
1374,6
1375,4
1378,5
1380,11
1384,1
1388,4
1390,7
1392,8
1393,6
1395,5
1778,4
1933,6
1984,2
1987,4
1990,4
1996,7
2060,5
2094,4
2097,6
2496,7
3073,11
3794,4
3865,7
3901,3
4006,2
4012,2
4282,6
5128,4
5142,7
5175,4
5236,4
5340,10
5572,4
5654,4
5659,4
6001,1
6523,7
6535,2
6985,4
7109,1
7119,6
7139,3
7186,3
7197,7
7254,3
7309,3
7552,2
