project,Supervisor,capacity
2616,1358,1
2617,2228,2
2618,2228,1
2619,2228,1
2620,2228,1
2624,1778,1
2630,1360,1
2631,1360,1
2640,1360,2
2641,1778,1
2643,1338,1
2644,1338,1
2645,1338,1
2647,1338,1
2648,1324,1
2649,1351,3
2650,1324,1
2651,1338,1
2652,1351,1
2653,1338,1
2654,1338,1
2655,1329,1
2656,1329,1
2657,1329,2
2658,1383,1
2659,1383,1
2660,1778,2
2661,3117,3
2662,3117,2
2663,3117,3
2664,3456,1
2665,3794,1
2666,1368,1
2667,1368,1
2668,1368,1
2671,1340,1
2672,1340,1
2673,1340,1
2675,1340,1
2676,3842,2
2677,3842,2
2679,1385,1
2680,1385,1
2681,1385,1
2682,1385,1
2683,1385,1
2684,3443,1
2686,3443,2
2687,3443,1
2684,1359,1
2688,3544,1
2689,3544,2
2690,3544,1
2691,3842,1
2692,3532,1
2693,3615,3
2694,3615,2
2695,3456,1
2696,3532,2
2697,3532,1
2698,3553,1
2699,1383,1
2700,1383,2
2701,1372,2
2702,1372,1
2703,1372,1
2704,3615,1
2705,1319,1
2706,1319,1
2707,1319,2
2708,1324,1
2709,3794,1
2710,3794,1
2711,1390,4
2712,1825,1
2713,1322,1
2714,1322,1
2715,1322,1
2716,1322,1
2717,1341,10
2718,3073,4
2719,3073,4
2720,3073,2
2721,3073,1
2722,1355,1
2723,1355,2
2724,1355,1
2725,1349,2
2726,1349,4
2727,1349,1
2728,4012,2
2728,1367,2
2731,1374,4
2732,1987,1
2733,1987,1
2734,1825,1
2735,3553,1
2736,3553,1
2737,3553,1
2741,1334,5
2742,1334,1
2743,1334,5
2744,1825,2
2745,1327,1
2746,1327,1
2747,1327,2
2748,1339,1
2749,1339,1
2751,1990,1
2750,1382,1
2752,1335,1
2753,1335,1
2754,1335,3
2755,2097,6
2756,1353,1
2757,1353,1
2758,1353,
2759,1353,1
2760,1333,1
2761,1333,2
2762,1333,2
2755,1326,6
2763,1382,1
2764,1382,1
2765,1344,2
2766,1344,1
2767,1344,1
2768,1990,1
2769,3882,1
2770,1392,1
2771,1392,1
2772,1392,1
2773,1392,1
2774,1371,2
2775,1990,1
2776,1371,1
2777,1371,1
2778,1359,1
2779,1359,1
2780,1990,1
2781,3865,1
2782,1359,2
2783,3865,1
2784,1392,1
2785,3865,1
2787,2496,1
2789,3443,1
2791,3443,2
2792,3443,1
2793,1383,1
2794,1324,1
2795,1393,3
2798,1393,2
2799,1393,1
2800,1388,1
2802,1388,1
2803,3647,2
2804,1388,1
2805,3647,1
2806,3647,1
2808,1325,3
2809,1325,3
2810,1325,2
2812,1361,1
2813,1361,1
2814,1361,1
2815,1339,1
2816,1339,1
2817,1352,1
2818,1352,2
2819,1352,3
2820,1352,1
2821,3794,1
2822,1336,1
2823,1351,3
2824,1336,2
2826,1833,1
2827,1833,1
2828,1370,1
2829,1370,1
2830,1370,2
2832,1336,1
2833,1330,1
2834,1330,1
2835,1375,3
2836,1375,1
2837,1330,1
2838,1388,1
2839,1366,1
2840,1363,2
2841,1332,2
2842,1363,3
2843,1363,1
2844,1363,1
2845,1332,1
2846,1366,1
2848,1366,2
2787,2097,1
2849,2068,1
2850,2068,1
2851,2068,1
2853,1348,2
2854,1348,1
2855,1348,2
2807,1368,1
2740,1368,2
2856,1778,1
2859,1380,3
2860,1380,3
2861,1380,3
2862,1380,2
2863,1380,3
2864,1380,1
2865,1376,1
2866,1376,1
2868,1376,1
2869,1367,1
2870,1367,2
2871,1367,2
2872,1367,2
2873,1367,1
2874,1367,1
2875,1367,1
2877,4461,2
2878,1389,3
2879,1389,
2881,1389,1
2882,1331,1
2883,1331,1
2884,1331,1
2885,1320,2
2886,1320,1
2887,1351,1
2887,1769,1
2888,1379,2
2890,1351,1
2891,4461,1
2857,3360,1
2892,1333,1
2894,1340,1
2898,1384,1
2899,5031,1
2901,5031,1
2902,5031,1
2897,1327,1
2903,5030,1
2904,5030,1
2906,5030,1
2907,5030,1
2908,1984,2
2909,1324,1
2780,1356,1
2910,5031,1
2870,1833,2
2871,1833,2
2869,1833,1
2914,1342,1
2915,1342,2
2916,1342,1
2887,4012,1
2917,1336,2
2918,5031,1
2919,1332,1
2904,1385,1
2920,1332,1
2921,1381,1
2887,4063,1
2903,1336,1
2895,1984,1
2907,3865,1
2896,1384,1
