sid,pid,rank
3577,4379,0
3577,4386,1
3577,4441,2
3577,4544,3
3577,4440,4
3577,4546,5
3595,4421,0
3595,4597,1
3595,4606,2
3595,4410,3
3595,4451,4
3595,4408,5
5024,4564,0
5024,4501,1
5024,4523,2
5024,4486,3
5024,4410,4
5024,4398,5
5090,4513,0
5090,4498,1
5090,4477,2
5090,4444,3
5090,4447,4
5090,4392,5
5090,4507,6
5090,4554,7
5090,4487,8
5090,4544,9
5090,4468,10
5090,4403,11
5090,4467,12
5090,4466,13
5090,4571,14
5090,4536,15
5090,4474,16
5096,4378,0
5096,4452,1
5096,4460,2
5096,4439,3
5096,4484,4
5096,4468,5
5096,4453,6
5096,4379,7
5096,4580,8
5096,4606,9
5096,4443,10
5096,4405,11
5096,4451,12
5096,4503,13
5096,4521,14
5214,4540,0
5214,4553,1
5214,4444,2
5214,4443,3
5214,4445,4
5214,4554,5
5214,4447,6
5214,4513,7
5214,4410,8
5214,4414,9
5214,4499,10
5214,4501,11
5214,4509,12
5215,4398,0
5215,4460,1
5215,4496,2
5215,4488,3
5215,4475,4
5215,4481,5
5215,4469,6
5215,4459,7
5215,4513,8
5255,4448,0
5255,4449,1
5255,4458,2
5255,4457,3
5255,4403,4
5255,4392,5
5255,4443,6
5387,4457,0
5387,4366,1
5387,4544,2
5387,4473,3
5387,4605,4
5387,4431,5
5387,4509,6
5387,4417,7
5387,4527,8
5387,4487,9
5387,4442,10
5387,4415,11
5387,4421,12
5387,4467,13
5387,4574,14
5387,4546,15
5861,4588,0
5861,4449,1
5861,4512,2
5861,4516,3
5871,4570,0
5871,4366,1
5871,4499,2
5871,4452,3
5871,4604,4
6413,4398,0
6413,4538,1
6413,4453,2
6413,4584,3
6413,4506,4
6413,4400,5
6413,4507,6
6413,4465,7
6548,4498,0
6548,4403,1
6548,4573,2
6548,4471,3
6548,4402,4
6548,4516,5
6548,4476,6
6548,4448,7
6548,4577,8
6548,4395,9
6548,4474,10
6582,4403,0
6582,4477,1
6582,4571,2
6582,4402,3
6582,4458,4
6582,4432,5
6582,4445,6
6582,4446,7
6582,4497,8
6582,4474,9
6582,4527,10
6582,4526,11
6582,4386,12
6617,4379,0
6617,4525,1
6617,4459,2
6617,4469,3
6617,4480,4
6617,4481,5
6617,4474,6
6650,4377,0
6650,4436,1
6650,4378,2
6650,4483,3
6650,4360,4
6650,4414,5
6650,4543,6
6650,4561,7
6650,4465,8
6650,4480,9
6650,4481,10
6650,4467,11
6650,4413,12
6650,4383,13
6650,4538,14
6702,4525,0
6702,4496,1
6702,4377,2
6702,4495,3
6702,4408,4
6702,4398,5
6702,4503,6
6702,4401,7
6702,4530,8
6702,4603,9
6702,4417,10
6702,4410,11
6705,4452,0
6705,4580,1
6705,4485,2
6705,4549,3
6705,4457,4
6705,4467,5
6711,4513,0
6711,4571,1
6711,4487,2
6711,4452,3
6711,4498,4
6711,4530,5
6711,4474,6
6711,4544,7
6711,4468,8
6711,4467,9
6711,4458,10
6711,4444,11
6711,4445,12
6724,4497,0
6724,4477,1
6724,4454,2
6724,4449,3
6724,4448,4
6781,4476,0
6781,4500,1
6781,4490,2
6781,4458,3
6781,4427,4
6781,4391,5
6781,4392,6
6781,4582,7
6844,4444,0
6844,4398,1
6844,4446,2
6844,4391,3
6844,4392,4
6844,4513,5
6844,4527,6
6844,4474,7
6844,4468,8
6844,4460,9
6844,4533,10
6844,4400,11
6844,4487,12
6844,4571,13
6844,4365,14
6844,4526,15
6844,4401,16
6844,4477,17
6854,4506,0
6854,4480,1
6854,4481,2
6854,4507,3
6854,4525,4
6854,4398,5
6854,4400,6
6856,4525,0
6856,4417,1
6856,4398,2
6856,4405,3
6856,4466,4
6856,4589,5
6856,4497,6
6856,4553,7
6856,4470,8
6856,4407,9
6857,4578,0
6857,4576,1
6857,4398,2
6857,4379,3
6857,4400,4
6857,4421,5
6857,4386,6
6859,4449,0
6859,4516,1
6859,4493,2
6859,4458,3
6859,4400,4
6861,4461,0
6861,4408,1
6861,4365,2
6861,4438,3
6861,4377,4
6861,4398,5
6863,4473,0
6863,4547,1
6863,4470,2
6863,4513,3
6863,4476,4
6863,4471,5
6866,4366,0
6866,4421,1
6866,4452,2
6866,4369,3
6866,4455,4
6866,4364,5
6866,4370,6
6869,4468,0
6869,4466,1
6869,4533,2
6869,4582,3
6869,4535,4
6872,4562,0
6872,4561,1
6872,4446,2
6872,4444,3
6872,4365,4
6872,4513,5
6872,4483,6
6872,4395,7
6872,4482,8
6874,4394,0
6874,4395,1
6874,4370,2
6874,4471,3
6874,4498,4
6874,4513,5
6878,4437,0
6878,4468,1
6878,4466,2
6878,4467,3
6878,4465,4
6892,4477,0
6892,4487,1
6892,4403,2
6892,4466,3
6892,4400,4
6892,4571,5
6892,4474,6
6896,4600,0
6896,4513,1
6896,4530,2
6896,4490,3
6896,4545,4
6896,4546,5
6909,4366,0
6909,4421,1
6909,4369,2
6909,4606,3
6909,4549,4
6909,4580,5
6909,4501,6
6911,4438,0
6911,4498,1
6911,4455,2
6911,4499,3
6911,4562,4
6911,4378,5
6911,4478,6
6911,4461,7
6911,4389,8
6911,4433,9
6911,4401,10
6911,4370,11
6913,4527,0
6913,4468,1
6913,4466,2
6913,4581,3
6913,4568,4
6913,4444,5
6913,4569,6
6913,4474,7
6940,4471,0
6940,4472,1
6940,4370,2
6940,4364,3
6940,4400,4
6940,4503,5
6940,4398,6
6996,4587,0
6996,4366,1
6996,4369,2
6996,4549,3
6996,4543,4
6996,4368,5
6996,4411,6
6996,4421,7
6996,4400,8
6996,4612,9
6999,4444,0
6999,4378,1
6999,4525,2
6999,4405,3
6999,4398,4
6999,4515,5
6999,4453,6
6999,4578,7
6999,4396,8
6999,4460,9
6999,4580,10
6999,4420,11
6999,4438,12
6999,4506,13
6999,4414,14
6999,4530,15
6999,4401,16
6999,4520,17
6999,4478,18
7017,4414,0
7017,4553,1
7017,4561,2
7017,4392,3
7017,4405,4
7050,4494,0
7050,4450,1
7050,4522,2
7050,4547,3
7050,4458,4
7060,4590,0
7060,4463,1
7060,4455,2
7060,4523,3
7060,4388,4
7060,4379,5
7082,4518,0
7082,4425,1
7082,4410,2
7082,4414,3
7082,4495,4
7115,4532,0
7115,4452,1
7115,4478,2
7115,4407,3
7115,4465,4
7118,4398,0
7118,4411,1
7118,4378,2
7118,4606,3
7118,4413,4
7118,4414,5
7118,4421,6
7118,4577,7
7118,4388,8
7118,4546,9
7118,4526,10
7122,4436,0
7122,4432,1
7122,4360,2
7122,4589,3
7122,4569,4
7122,4516,5
7122,4393,6
7122,4389,7
7122,4448,8
7122,4442,9
7122,4449,10
7122,4454,11
7126,4578,0
7126,4445,1
7126,4455,2
7126,4549,3
7126,4446,4
7126,4612,5
7126,4443,6
7126,4434,7
7126,4458,8
7126,4576,9
7126,4386,10
7126,4370,11
7126,4471,12
7149,4377,0
7149,4431,1
7149,4511,2
7149,4543,3
7149,4604,4
7149,4455,5
7149,4379,6
7149,4401,7
7150,4515,0
7150,4479,1
7150,4480,2
7150,4525,3
7150,4528,4
7150,4405,5
7150,4401,6
7159,4462,0
7159,4464,1
7159,4463,2
7159,4549,3
7159,4530,4
7159,4612,5
7159,4411,6
7160,4499,0
7160,4577,1
7160,4444,2
7160,4466,3
7160,4467,4
7160,4457,5
7160,4468,6
7160,4549,7
7160,4544,8
7576,4541,0
7576,4436,1
7576,4471,2
7576,4434,3
7576,4393,4
7683,4550,0
7683,4430,1
7683,4455,2
7683,4545,3
7683,4360,4
7690,4500,0
7690,4426,1
7690,4502,2
7690,4499,3
7690,4427,4
7690,4365,5
7690,4400,6
7690,4411,7
7690,4444,8
7698,4560,0
7698,4473,1
7698,4527,2
7698,4513,3
7698,4526,4
7701,4549,0
7701,4612,1
7701,4524,2
7701,4545,3
7701,4501,4
7701,4499,5
7701,4500,6
7705,4558,0
7705,4471,1
7705,4392,2
7705,4472,3
7705,4436,4
7705,4527,5
