person_id,tenant_id,academic_session_id,role_id
3274,ug4,6,student
1339,ug4,6,supervisor
1363,ug4,6,supervisor
1382,ug4,6,supervisor
1320,ug4,6,supervisor
1349,ug4,6,supervisor
3583,ug4,6,supervisor
1763,ug4,6,supervisor
1327,ug4,6,supervisor
1383,ug4,6,manager
1318,ug4,6,manager
1332,ug4,6,supervisor
1392,ug4,6,supervisor
3553,ug4,6,supervisor
1823,ug4,6,supervisor
1335,ug4,6,supervisor
4597,ug4,6,supervisor
1328,ug4,6,supervisor
1388,ug4,6,supervisor
1324,ug4,6,supervisor
2588,ug4,6,student
2097,ug4,6,supervisor
1319,ug4,6,supervisor
1825,ug4,6,supervisor
1757,ug4,6,supervisor
3920,ug4,6,supervisor
3062,ug4,6,supervisor
3794,ug4,6,supervisor
3699,ug4,6,student
4465,ug4,6,student
2642,ug4,6,student
4616,ug4,6,student
1833,ug4,6,supervisor
4619,ug4,6,student
3467,ug4,6,student
3460,ug4,6,student
3712,ug4,6,student
3409,ug4,6,student
3585,ug4,6,student
3453,ug4,6,student
3695,ug4,6,student
3086,ug4,6,student
4623,ug4,6,student
2521,ug4,6,student
3736,ug4,6,supervisor
3706,ug4,6,student
3338,ug4,6,student
1393,ug4,6,supervisor
1323,ug4,6,supervisor
1352,ug4,6,supervisor
1778,ug4,6,supervisor
3691,ug4,6,student
3842,ug4,6,supervisor
4626,ug4,6,student
1326,ug4,6,supervisor
4629,ug4,6,student
4632,ug4,6,student
1793,ug4,6,supervisor
3829,ug4,6,student
1354,ug4,6,supervisor
3516,ug4,6,student
1358,ug4,6,supervisor
1353,ug4,6,supervisor
4639,ug4,6,student
1342,ug4,6,supervisor
4642,ug4,6,student
4645,ug4,6,student
4469,ug4,6,student
3477,ug4,6,student
3815,ug4,6,student
2228,ug4,6,supervisor
1362,ug4,6,supervisor
1373,ug4,6,supervisor
3248,ug4,6,student
2541,ug4,6,student
1372,ug4,6,supervisor
4048,ug4,6,student
3544,ug4,6,supervisor
4648,ug4,6,student
3685,ug4,6,student
3710,ug4,6,student
4651,ug4,6,student
1357,ug4,6,supervisor
2905,ug4,6,student
3449,ug4,6,student
4670,ug4,6,student
2711,ug4,6,student
3178,ug4,6,student
2496,ug4,6,supervisor
4673,ug4,6,student
1340,ug4,6,supervisor
3408,ug4,6,manager
3692,ug4,6,student
2766,ug4,6,student
1334,ug4,6,supervisor
1371,ug4,6,supervisor
1368,ug4,6,supervisor
1346,ug4,6,supervisor
4687,ug4,6,student
1378,ug4,6,supervisor
1341,ug4,6,supervisor
1395,ug4,6,supervisor
4066,ug4,6,student
3980,ug4,6,supervisor
1933,ug4,6,supervisor
4693,ug4,6,student
1990,ug4,6,supervisor
3536,ug4,6,student
3716,ug4,6,student
4415,ug4,6,supervisor
1333,ug4,6,supervisor
