pid,sid,rank
2794,4879,4
2704,4929,9
2804,4943,7
2766,4623,2
2793,3631,1
2807,3703,0
2837,4788,5
2624,5018,7
2772,4788,4
2689,3274,4
2726,5018,6
2680,4465,3
2647,4673,4
2715,3714,0
2700,5018,0
2717,5018,1
2885,4673,2
2792,4645,1
2722,4914,0
2785,4687,5
2826,5018,8
2684,3542,8
2740,4791,1
2679,4866,0
2920,3715,4
2791,3542,22
2921,2719,0
2683,4760,4
2667,4885,1
2724,4914,3
2732,3338,1
2823,4856,0
2649,4974,2
2769,3536,9
2778,4760,3
2823,4985,2
2791,4949,4
2828,4949,3
2770,4952,14
2842,4914,2
2840,4914,4
2702,3720,3
2865,5076,2
2890,3542,3
2672,4938,2
2810,4673,5
2755,3542,15
2835,4830,4
2675,4938,3
2809,3691,2
2717,4791,0
2919,4465,7
2868,4920,3
2835,3542,17
2686,3685,2
2893,4469,8
2836,3542,18
2887,3264,0
2857,3815,0
2892,3493,0
2894,4782,0
2754,5018,10
2720,4952,3
2833,3542,21
2852,4873,5
2690,3274,1
2682,3274,0
2679,3274,3
2683,3274,5
2718,4952,0
2846,3542,13
2895,3727,0
2701,5012,52
2794,3808,5
2772,3808,1
2896,3467,12
2803,3720,0
2809,3635,1
2703,3635,0
2712,3689,2
2747,3477,4
2759,3439,1
2882,5018,12
2735,3392,3
2773,3808,3
2761,3808,4
2713,4894,1
2814,3808,0
2690,4929,8
2784,4952,12
2916,3712,4
2664,5018,13
2804,3724,3
2800,4958,6
2770,5018,14
2823,4673,0
2665,3392,1
2823,3542,4
2645,3477,2
2647,3477,3
2718,3635,6
2689,4766,1
2710,3392,2
2645,4009,3
2795,4891,0
2713,3714,3
2736,4645,8
2817,4830,6
2698,4830,5
2830,4687,12
2630,4687,13
2763,4059,0
2784,5012,36
2888,5015,8
2680,4905,6
2779,4859,3
2848,3710,6
2675,3710,8
2812,3710,5
2708,3714,2
2720,4048,0
2795,4905,4
2668,3714,5
2826,3536,2
2794,4704,1
2819,5082,1
2702,4935,8
2673,4888,1
2823,4935,4
2708,4935,2
2666,5012,19
2711,4424,6
2888,5012,28
2879,5012,25
2903,5012,13
2718,4989,1
2907,4469,1
2680,4989,3
2882,4059,7
2778,4859,6
2708,4469,5
2765,4989,2
2708,5070,6
2697,4952,1
2877,3712,6
2833,4989,4
2734,4989,5
2903,3706,1
2681,4791,6
2695,4441,7
2817,4424,4
2882,4817,3
2640,4059,3
2841,3716,1
2882,3716,0
2808,4673,6
2850,3536,7
2700,4989,0
2714,4059,8
2907,3706,5
2731,4704,7
2782,4827,9
2719,4952,5
2779,4952,8
2824,3689,1
2800,4863,7
2681,4905,1
2695,4905,0
2664,4905,7
2862,3829,6
2689,3721,5
2708,3542,14
2698,4891,2
2645,4645,4
2882,4974,3
2794,4974,9
2865,4974,8
2765,4859,0
2766,4859,1
2647,4009,1
2779,3449,1
2712,3271,3
2723,4763,2
2655,4802,2
2752,3712,2
2676,4879,1
2765,3535,0
2838,4863,0
2902,3519,0
2732,3535,11
2806,4721,6
2745,5068,3
2732,4714,2
2708,4687,0
2792,3535,14
2631,5012,43
2803,5018,9
2713,5015,9
2694,4899,7
2647,4856,2
2717,4856,3
2744,4769,4
2728,4763,0
2863,4977,4
2682,4899,0
2616,4899,1
2855,4888,2
2736,4830,0
2687,4788,1
2841,4932,0
2882,4932,3
2853,4896,3
2724,5076,9
2700,4799,0
2700,4619,1
2853,2642,0
2888,3535,2
2779,5012,8
2681,5012,10
2680,5012,11
2657,5012,12
2774,3599,8
2620,2642,2
2838,4424,2
2755,4623,1
2630,3599,1
2781,5070,4
2834,4980,4
2833,4980,3
2903,4469,3
2848,5076,0
2882,4985,1
2909,4714,0
2672,4704,3
2677,4885,11
2663,4977,5
2754,3912,7
2878,3912,8
2903,3912,4
2676,4856,5
2813,4144,1
2778,4952,9
2782,4952,7
2754,4952,6
2702,4619,6
2785,4885,4
2781,4885,2
2649,4059,4
2781,4687,3
2839,4687,6
2794,4896,0
2644,4914,1
2819,4885,16
2624,4885,15
2838,4985,16
2672,3696,2
2803,3696,3
2780,4788,7
2649,4888,3
2787,4469,7
2879,3695,0
2776,3453,0
2732,3453,1
2778,3508,3
2679,5055,6
2672,4802,5
2675,4802,6
2703,4802,11
2701,4802,12
2684,4802,15
2803,3460,5
2791,2642,4
2800,4424,0
2675,3696,1
2771,3696,0
2804,4424,1
2640,2642,1
2755,4986,7
2833,5012,31
2809,5012,32
2755,4985,10
2643,4882,2
2718,4721,2
2762,4788,2
2833,3338,3
2918,4772,2
2845,3439,6
2777,3453,3
2665,3536,14
2653,3439,0
2920,4932,4
2804,3721,6
2624,4932,1
2652,3264,2
2715,4144,10
2914,4932,2
2803,4888,0
2702,3338,4
2836,5012,6
2735,3439,2
2816,4817,1
2665,3439,3
2846,4721,5
2644,3439,7
2647,4721,4
2715,4882,4
2755,4882,5
2917,3271,0
2718,4985,11
2846,4885,7
2774,4144,0
2814,4817,4
2696,3439,5
2708,3409,6
2779,3508,1
2619,4920,1
2853,4882,7
2766,4986,15
2841,4986,16
2765,3449,5
2863,3829,4
2641,3721,4
2702,4888,4
2775,4788,6
2803,4616,5
2682,3592,2
2683,3592,3
2702,3409,0
2723,4817,2
2833,3635,7
2656,3607,2
2804,4721,1
2823,3264,1
2824,3699,6
2747,4891,1
2693,4721,0
2717,4788,0
2677,4879,2
2755,4670,0
2824,4763,5
2763,4894,2
2648,4894,3
2794,4894,4
2672,5068,6
2800,4986,3
2708,5068,5
2708,4879,0
2803,4144,8
2672,4616,0
2823,4986,4
2687,4623,0
2760,5018,16
2658,5018,5
2767,3535,12
2652,3535,10
2694,3592,0
2649,5068,1
2881,4863,1
2708,4882,0
2846,3599,3
2803,3409,7
2719,5018,17
2914,5064,4
2693,5018,18
2855,4882,1
2683,3721,1
2694,5018,19
2856,3585,0
2723,3536,11
2688,4932,5
2802,4932,6
2697,4932,7
2640,4958,5
2919,3712,3
2767,4623,3
2732,4623,4
2721,5048,0
2838,5048,4
2668,4996,4
2648,4996,6
2879,5082,3
2715,4824,1
2834,4788,3
2787,4882,3
2650,5048,2
2703,5048,3
2830,5048,1
2864,4687,9
2694,3585,1
2617,4820,0
2800,3727,2
2837,3727,1
2802,3727,4
2775,3727,3
2689,3727,5
2693,3585,6
2795,3585,5
2836,3535,9
2884,4885,8
2649,4687,10
2771,4952,10
2640,4779,1
2853,3274,6
2795,3274,2
2877,4779,3
2879,3409,2
2787,4820,4
2700,4885,3
2878,4866,4
2878,3409,1
2649,4616,3
2824,4891,4
2726,3536,8
2702,4885,0
2903,4905,11
2817,5068,12
2904,4441,5
2728,4986,2
2659,3536,4
2708,4824,3
2888,4977,1
2660,4977,2
2810,4977,0
2657,3689,0
2726,5032,3
2692,5032,2
2803,5068,0
2664,3721,0
2731,4820,2
2648,4986,8
2710,4974,6
2744,5012,40
2728,5012,41
2702,4986,14
2757,3715,2
2616,4949,5
2708,4863,3
2728,4905,10
2904,4905,8
2907,4905,2
2824,3271,6
2855,4885,9
2754,4772,4
2822,3536,15
2851,3536,6
2720,5012,4
2731,4469,13
2834,4791,2
2837,4791,8
2658,3536,1
2819,4791,9
2809,3535,3
2754,3535,6
2760,3691,3
2717,3691,0
2750,3519,2
2901,3519,1
2836,3699,3
2778,3519,3
2677,4949,2
2904,3912,6
2697,4891,3
2841,4673,9
2781,3474,2
2653,4974,1
2841,4974,0
2673,4996,7
2690,4791,5
2809,4977,3
2679,4791,3
2898,4791,4
2693,3592,1
2731,4862,1
2702,4996,8
2676,3851,7
2845,4996,2
2630,3692,3
2773,3689,4
2719,5012,9
2712,4441,1
2714,3542,10
2866,4465,6
2899,3519,5
2812,4974,5
2731,4974,7
2787,4805,3
2652,4048,2
2823,4048,3
2776,5012,47
2817,4824,2
2617,4811,1
2620,4811,0
2864,4824,4
2888,3714,4
2708,4986,6
2650,4824,0
2772,4866,1
2703,3699,0
2795,4876,3
2676,4876,2
2794,4863,2
2676,4943,6
2619,4629,1
