Student ID: 3577
  Project ID: 4379, Rank: 0
  Project ID: 4386, Rank: 1
  Project ID: 4441, Rank: 2
  Project ID: 4544, Rank: 3
  Project ID: 4440, Rank: 4
  Project ID: 4546, Rank: 5

Student ID: 3595
  Project ID: 4421, Rank: 0
  Project ID: 4597, Rank: 1
  Project ID: 4606, Rank: 2
  Project ID: 4410, Rank: 3
  Project ID: 4451, Rank: 4
  Project ID: 4408, Rank: 5

Student ID: 5024
  Project ID: 4564, Rank: 0
  Project ID: 4501, Rank: 1
  Project ID: 4523, Rank: 2
  Project ID: 4486, Rank: 3
  Project ID: 4410, Rank: 4
  Project ID: 4398, Rank: 5

Student ID: 5061
  Project ID: 4378, Rank: 0
  Project ID: 4401, Rank: 1
  Project ID: 4408, Rank: 2
  Project ID: 4431, Rank: 3
  Project ID: 4410, Rank: 4
  Project ID: 4596, Rank: 5
  Project ID: 4598, Rank: 6
  Project ID: 4484, Rank: 7

Student ID: 5090
  Project ID: 4513, Rank: 0
  Project ID: 4498, Rank: 1
  Project ID: 4477, Rank: 2
  Project ID: 4444, Rank: 3
  Project ID: 4447, Rank: 4
  Project ID: 4392, Rank: 5
  Project ID: 4507, Rank: 6
  Project ID: 4554, Rank: 7
  Project ID: 4487, Rank: 8
  Project ID: 4544, Rank: 9
  Project ID: 4468, Rank: 10
  Project ID: 4403, Rank: 11
  Project ID: 4467, Rank: 12
  Project ID: 4466, Rank: 13
  Project ID: 4571, Rank: 14
  Project ID: 4536, Rank: 15
  Project ID: 4474, Rank: 16

Student ID: 5096
  Project ID: 4378, Rank: 0
  Project ID: 4452, Rank: 1
  Project ID: 4460, Rank: 2
  Project ID: 4439, Rank: 3
  Project ID: 4484, Rank: 4
  Project ID: 4468, Rank: 5
  Project ID: 4453, Rank: 6
  Project ID: 4379, Rank: 7
  Project ID: 4580, Rank: 8
  Project ID: 4606, Rank: 9
  Project ID: 4443, Rank: 10
  Project ID: 4405, Rank: 11
  Project ID: 4451, Rank: 12
  Project ID: 4503, Rank: 13
  Project ID: 4521, Rank: 14

Student ID: 5214
  Project ID: 4540, Rank: 0
  Project ID: 4553, Rank: 1
  Project ID: 4444, Rank: 2
  Project ID: 4443, Rank: 3
  Project ID: 4445, Rank: 4
  Project ID: 4554, Rank: 5
  Project ID: 4447, Rank: 6
  Project ID: 4513, Rank: 7
  Project ID: 4410, Rank: 8
  Project ID: 4414, Rank: 9
  Project ID: 4499, Rank: 10
  Project ID: 4501, Rank: 11
  Project ID: 4509, Rank: 12

Student ID: 5215
  Project ID: 4398, Rank: 0
  Project ID: 4460, Rank: 1
  Project ID: 4496, Rank: 2
  Project ID: 4488, Rank: 3
  Project ID: 4475, Rank: 4
  Project ID: 4481, Rank: 5
  Project ID: 4469, Rank: 6
  Project ID: 4459, Rank: 7
  Project ID: 4513, Rank: 8

Student ID: 5226
  Project ID: 4613, Rank: 0
  Project ID: 4499, Rank: 1
  Project ID: 4400, Rank: 2
  Project ID: 4445, Rank: 3
  Project ID: 4477, Rank: 4
  Project ID: 4365, Rank: 5

Student ID: 5255
  Project ID: 4448, Rank: 0
  Project ID: 4449, Rank: 1
  Project ID: 4458, Rank: 2
  Project ID: 4457, Rank: 3
  Project ID: 4403, Rank: 4
  Project ID: 4392, Rank: 5
  Project ID: 4443, Rank: 6

Student ID: 5387
  Project ID: 4457, Rank: 0
  Project ID: 4366, Rank: 1
  Project ID: 4544, Rank: 2
  Project ID: 4473, Rank: 3
  Project ID: 4605, Rank: 4
  Project ID: 4431, Rank: 5
