Supervisor,Project_Count,Max_Students_Sum
1318.0,1,1.0
1319.0,3,4.0
1320.0,2,4.0
1322.0,3,9.0
1324.0,2,3.0
1328.0,2,3.0
1329.0,1,2.0
1330.0,2,3.0
1331.0,2,6.0
1332.0,4,6.0
1333.0,3,4.0
1334.0,4,7.0
1335.0,3,4.0
1338.0,5,5.0
1339.0,2,3.0
1340.0,3,6.0
1341.0,57,57.0
1342.0,2,5.0
1344.0,4,5.0
1348.0,2,4.0
1351.0,4,8.0
1353.0,4,6.0
1358.0,1,1.0
1361.0,3,4.0
1363.0,3,6.0
1366.0,3,5.0
1370.0,4,4.0
1374.0,2,6.0
1375.0,4,4.0
1378.0,3,5.0
1380.0,6,11.0
1384.0,1,1.0
1388.0,2,3.0
1390.0,4,6.0
1392.0,5,8.0
1393.0,3,5.0
1395.0,3,5.0
1778.0,3,4.0
1933.0,5,6.0
1984.0,1,2.0
1987.0,3,4.0
1990.0,3,4.0
1996.0,3,6.0
2016.0,1,1.0
2060.0,3,5.0
2094.0,2,3.0
2097.0,4,5.0
2228.0,1,2.0
2496.0,3,5.0
2985.0,1,1.0
3073.0,4,10.0
3360.0,1,1.0
3595.0,1,1.0
3794.0,3,4.0
3865.0,3,5.0
3901.0,1,2.0
4006.0,2,2.0
4012.0,1,1.0
4282.0,4,6.0
5024.0,1,1.0
5061.0,2,2.0
5128.0,2,3.0
5142.0,3,7.0
5175.0,4,4.0
5226.0,1,1.0
5236.0,1,4.0
5340.0,3,10.0
5572.0,1,4.0
5654.0,3,4.0
5659.0,3,4.0
5861.0,1,1.0
5871.0,1,1.0
5877.0,1,1.0
6523.0,3,4.0
6535.0,2,2.0
6714.0,1,1.0
6878.0,1,1.0
6896.0,1,1.0
6985.0,2,4.0
6996.0,1,1.0
7060.0,1,1.0
7109.0,1,1.0
7115.0,1,1.0
7119.0,3,4.0
7139.0,3,3.0
7186.0,3,3.0
7197.0,3,6.0
7254.0,1,1.0
7552.0,1,2.0
7576.0,1,1.0
7683.0,1,1.0
7698.0,1,1.0
7705.0,1,1.0
7754.0,1,1.0
7757.0,1,1.0
7765.0,1,1.0
7830.0,1,1.0
7867.0,1,1.0
7891.0,1,1.0
7907.0,1,1.0
7932.0,1,1.0
7936.0,1,1.0
7959.0,1,3.0
7963.0,1,1.0
7966.0,1,1.0
7973.0,1,5.0
7989.0,1,1.0
8020.0,1,1.0
8022.0,1,1.0
8039.0,1,1.0
8063.0,1,1.0
8070.0,1,1.0
8152.0,1,1.0
8221.0,1,3.0
8257.0,1,1.0
