Supervisor,Project_Count,Max_Students_Sum
1319,3,4
1320,2,3
1322,4,4
1324,5,5
1325,3,8
1326,1,6
1327,4,5
1329,3,4
1330,3,3
1331,3,3
1332,4,5
1333,4,6
1334,3,10
1335,3,5
1336,5,7
1338,7,7
1339,4,4
1340,5,5
1341,1,10
1342,3,4
1344,3,4
1348,3,5
1349,3,7
1351,5,9
1352,4,7
1353,4,3
1355,3,4
1356,1,1
1358,1,1
1359,4,5
1360,3,4
1361,3,3
1363,4,7
1366,3,4
1367,8,10
1368,5,6
1370,3,4
1371,3,4
1372,3,4
1374,1,4
1375,2,4
1376,3,3
1379,1,2
1380,6,10
1381,1,1
1382,3,3
1383,5,6
1384,2,2
1385,6,6
1388,4,4
1389,3,4
1390,1,4
1392,5,5
1393,3,6
1769,1,1
1778,4,5
1825,3,4
1833,5,7
1984,2,3
1987,2,2
1990,4,4
2068,3,3
2097,2,7
2228,4,5
2496,1,1
3073,4,10
3117,3,8
3360,1,1
3443,6,8
3456,2,2
3532,3,4
3544,3,4
3553,4,4
3615,3,6
3647,3,4
3794,4,4
3842,3,5
3865,4,4
3882,1,1
4012,2,3
4063,1,1
4461,2,3
5030,4,4
5031,5,5
